代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159073,粮食ETF汇添富,1.13,1.1215,-0.76,0.065,6.1,212468.0,23903246.566,1.063,1.137,1.056,1.065,7.61,32.6,1.31,6.07,138205.0,74263.0,-4172392.0,-17.46,-1119829.0,-4.68,-3052563.0,-12.77,2588605.0,10.83,1583788.0,6.63,101.0,1.129,1.13,65173864.0,73646466,73646466,2026-09-01,2026-09-01 14:32:09+08:00
159587,粮食ETF广发,1.311,1.3018,-0.71,0.073,5.9,952387.0,123686755.1,1.219,1.323,1.219,1.238,8.4,36.57,1.92,-20.46,518438.0,433949.0,-2300405.0,-1.86,-5317989.0,-4.3,3017584.0,2.44,7132127.0,5.77,-4831724.0,-3.91,803.0,1.31,1.311,260447031.0,341446058,341446058,2026-09-01,2026-09-01 14:31:57+08:00
159030,粮食ETF华夏,0.953,0.9481,-0.52,0.053,5.89,1021067.0,96540686.178,0.886,0.964,0.886,0.9,8.67,27.09,2.26,8.71,636269.0,384797.0,1193179.0,1.24,-3589366.0,-3.72,4782545.0,4.95,-1242306.0,-1.29,49127.0,0.05,-27.0,0.952,0.953,376968176.0,359250672,359250672,2026-09-01,2026-09-01 14:32:09+08:00
159698,粮食ETF鹏华,1.013,1.0076,-0.54,0.055,5.74,2967520.0,297455974.663,0.948,1.022,0.948,0.958,7.72,18.47,1.76,13.96,1592029.0,1375491.0,15843110.0,5.33,18051541.0,6.07,-2208431.0,-0.74,3178279.0,1.07,-19021389.0,-6.39,273.0,1.012,1.013,1606944384.0,1627834661,1627834661,2026-09-01,2026-09-01 14:31:57+08:00
159031,粮食ETF博时,1.053,1.0509,-0.2,0.057,5.72,318553.0,33444143.783,0.991,1.067,0.989,0.996,7.83,6.08,2.38,-28.9,166413.0,152140.0,2218897.0,6.63,5498158.0,16.44,-3279261.0,-9.81,-2700991.0,-8.08,482094.0,1.44,9.0,1.052,1.053,523528624.0,551275641,551275641,2026-09-01,2026-09-01 14:32:06+08:00
159072,粮食ETF景顺,1.223,1.2136,-0.77,0.065,5.61,162701.0,19727239.538,1.144,1.233,1.144,1.158,7.69,41.42,1.53,-4.64,97883.0,64818.0,-1011664.0,-5.13,52002.0,0.26,-1063666.0,-5.39,1323018.0,6.71,-311353.0,-1.58,27.0,1.22,1.223,39285157.0,48045747,48045747,2026-09-01,2026-09-01 14:32:09+08:00
159033,粮食ETF国泰,1.077,1.0748,-0.2,0.055,5.38,397292.0,42547306.97,1.001,1.088,1.001,1.022,8.51,39.6,1.19,15.05,199051.0,198240.0,1483772.0,3.49,1262479.0,2.97,221293.0,0.52,-808465.0,-1.9,-675306.0,-1.59,100.0,1.076,1.077,100323473.0,108048380,108048380,2026-09-01,2026-09-01 14:32:09+08:00
159038,粮食ETF易方达,1.018,1.0135,-0.44,0.051,5.27,612152.0,62017358.519,0.955,1.031,0.955,0.967,7.86,30.91,2.28,-17.97,357736.0,254416.0,6569715.0,10.59,4891691.0,7.89,1678024.0,2.71,-4488570.0,-7.24,-2081145.0,-3.36,-247.0,1.017,1.018,198026939.0,201591424,201591424,2026-09-01,2026-09-01 14:32:09+08:00
159063,粮食ETF南方,1.135,1.1336,-0.12,0.056,5.19,176688.0,19892111.178,1.059,1.15,1.059,1.079,8.43,33.66,1.08,33.36,91482.0,85206.0,1276545.0,6.42,411223.0,2.07,865322.0,4.35,-458554.0,-2.31,-817991.0,-4.11,-855.0,1.135,1.136,52486647.0,59572344,59572344,2026-09-01,2026-09-01 14:32:06+08:00
159060,粮食ETF浦银,1.112,1.1124,0.04,0.054,5.1,66311.0,7358572.131,1.047,1.126,1.047,1.058,7.47,25.04,1.83,20.2,21866.0,44445.0,939680.0,12.77,-395825.0,-5.38,1335505.0,18.15,-797543.0,-10.84,-142138.0,-1.93,15.0,1.111,1.113,26483423.0,29449566,29449566,2026-09-01,2026-09-01 14:32:06+08:00
159173,农牧ETF南方,0.936,0.9341,-0.2,0.025,2.74,66702.0,6214555.0,0.907,0.941,0.901,0.911,4.39,13.22,0.99,32.25,46376.0,20326.0,-973197.0,-15.66,-1580302.0,-25.43,607105.0,9.77,801554.0,12.9,171644.0,2.76,50.0,0.934,0.936,50455388.0,47226243,47226243,2026-09-01,2026-09-01 14:32:09+08:00
159275,农牧渔ETF华宝,0.906,0.9044,-0.18,0.023,2.6,153478.0,13871955.9,0.878,0.911,0.873,0.883,4.3,6.01,1.08,13.92,90319.0,63159.0,-810781.0,-5.84,-336035.0,-2.42,-474746.0,-3.42,182996.0,1.32,627786.0,4.53,61.0,0.905,0.906,255302909.0,231304436,231304436,2026-09-01,2026-09-01 14:32:03+08:00
560210,农牧渔ETF景顺,0.861,0.86,-0.12,0.021,2.5,187166.0,16098625.0,0.835,0.866,0.831,0.84,4.17,3.6,1.84,7.32,77493.0,109673.0,297679.0,1.85,-171950.0,-1.07,469629.0,2.92,8298.0,0.05,-305977.0,-1.9,127.0,0.86,0.861,519522000.0,447308442,447308442,2026-09-01,2026-09-01 14:31:43+08:00
159985,豆粕ETF华夏,2.36,2.2227,-6.18,0.054,2.34,3599495.0,840897481.122,2.307,2.37,2.298,2.306,3.12,23.06,2.33,-12.14,1897692.0,1701803.0,8900792.0,1.06,3693128.0,0.44,5207664.0,0.62,-8941360.0,-1.06,40558.0,0.0,134.0,2.358,2.36,1560724064.0,3683308791,3683308791,2026-09-01,2026-09-01 14:31:51+08:00
562900,农业ETF易方达,0.729,0.7274,-0.22,0.016,2.24,301016.0,21880663.0,0.712,0.735,0.711,0.713,3.37,12.61,1.51,16.65,175654.0,125362.0,-1479631.0,-6.76,-2133647.0,-9.75,654016.0,2.99,1309242.0,5.98,170389.0,0.78,138.0,0.728,0.729,238706300.0,174016893,174016893,2026-09-01,2026-09-01 14:31:35+08:00
159253,银行ETF博时,1.009,1.009,0.0,0.022,2.23,164735.0,16541682.987,0.987,1.01,0.98,0.987,3.04,3.06,1.95,22.75,90248.0,74487.0,838442.0,5.07,1413418.0,8.54,-574976.0,-3.48,-398305.0,-2.41,-440137.0,-2.66,477.0,1.008,1.009,539004976.0,543856021,543856021,2026-09-01,2026-09-01 14:32:06+08:00
510650,金融地产ETF华夏,2.995,2.9944,-0.02,0.064,2.18,5858.0,1749825.0,2.965,2.998,2.888,2.931,3.75,4.9,1.09,-19.85,2165.0,3693.0,57051.0,3.26,9513.0,0.54,47538.0,2.72,-1549.0,-0.09,-55502.0,-3.17,-1800.0,2.994,2.995,11952500.0,35797738,35797738,2026-09-01,2026-09-01 14:31:51+08:00
512690,酒ETF鹏华,0.428,0.4282,0.05,0.009,2.15,13672562.0,583220117.0,0.419,0.433,0.418,0.419,3.58,4.25,1.94,2.27,9460149.0,4212413.0,91202857.0,15.64,155545664.0,26.67,-64342807.0,-11.03,-68024441.0,-11.66,-23178406.0,-3.97,-2206.0,0.428,0.429,32145550336.0,13758295544,13758295544,2026-09-01,2026-09-01 14:31:48+08:00
